underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,30.0,C,2.42,2.42,2.42,2.42,1,22,2.4,1207,2.45,17.93,17.93,-0.5147220940451138,1.5326808938368448
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,120.0,C,0.05,0.05,0.05,0.05,30,6240,0.05,7758,0.1,17.93,17.93,-1.9010164551650044,1.5144413334309148
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,16.0,P,0.32,0.32,0.32,0.32,2000,36752,0.25,53972,0.35,17.93,17.93,0.11388656537726026,0.3117779147425247
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,18.0,P,0.87,0.87,0.87,0.87,10,37549,0.8,27496,0.9,17.93,17.93,-0.003896470279123235,0.24997628561623184
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,19.0,P,1.27,1.27,1.27,1.27,10,22,1.25,12278,1.3,17.93,17.93,-0.05796369154939895,0.18233141518098386
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,15.0,P,0.15,0.15,0.15,0.15,15,36562,0.1,51934,0.2,17.93,17.93,0.17842508651483147,0.3195364447483556
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,17.0,C,7.02,7.02,7.02,7.02,2,25291,6.9,30797,7.1,17.93,17.93,0.05326194356082541,2.0059450335002915
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,25.0,C,3.5,3.5,3.48,3.48,2,16855,3.4,15843,3.5,17.93,17.93,-0.3324005372511593,1.5939194942664425
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,17.0,P,0.55,0.55,0.55,0.55,15,22176,0.5,52674,0.6,17.93,17.93,0.05326194356082541,0.2863914503145694
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,20.0,C,5.2,5.2,5.2,5.2,1,43638,5.1,32646,5.3,17.93,17.93,-0.10925698593694952,1.7279406685722736
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,24.0,C,3.76,3.77,3.76,3.77,4,47134,3.6,37536,3.8,17.93,17.93,-0.2915785427309041,1.6067959268903593
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,23.0,C,4.1,4.1,4.1,4.1,2,22,4.0,35034,4.1,17.93,17.93,-0.24901892831210817,1.6382239294547607
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,14.0,P,0.07,0.07,0.07,0.07,2000,5783,0.05,58162,0.1,17.93,17.93,0.24741795800178287,0.3371528670916639
^VIX,2021-04-26 13:00:00,VIX,2021-07-21,40.0,C,1.35,1.35,1.35,1.35,5,22291,1.3,29040,1.4,17.93,17.93,-0.8024041664968948,1.5237346474288536
